Table S4. LC-TOF-MS data from negative and positive ion modes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data shown are peak areas for each mass feature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ctr = control sample, sample = aphid-treated sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,controls for 2 h samples,,,,,,controls for 4h samples,,,,,controls for 8 h samples,,,,,controls for 24 h samples,,,,,controls for  48 h samples,,,,,controls for 96 h samples,,,,,2 h samples,,,,,4 h samples,,,,,8 h samples,,,,,24 h samples,,,,,48 h samples,,,,,96 h samples,,,,
Ion mode,m/z,retention time,ID,ctr_2h_1,ctr_2h_2,ctr_2h_3,ctr_2h_4,ctr_2h_5,ctr_4h_1,ctr_4h_2,ctr_4h_3,ctr_4h_4,ctr_4h_5,ctr_8h_1,ctr_8h_2,ctr_8h_3,ctr_8h_4,ctr_8h_5,ctr_24h_1,ctr_24h_2,ctr_24h_3,ctr_24h_4,ctr_24h_5,ctr_48h_1,ctr_48h_2,ctr_48h_3,ctr_48h_4,ctr_48h_5,ctr_96h_1,ctr_96h_2,ctr_96h_3,ctr_96h_4,ctr_96h_5,sample_2h_1,sample_2h_2,sample_2h_3,sample_2h_4,sample_2h_5,sample_4h_1,sample_4h_2,sample_4h_3,sample_4h_4,sample_4h_5,sample_8h_1,sample_8h_2,sample_8h_3,sample_8h_4,sample_8h_5,sample_24h_1,sample_24h_2,sample_24h_3,sample_24h_4,sample_24h_5,sample_48h_1,sample_48h_2,sample_48h_3,sample_48h_4,sample_48h_5,sample_96h_1,sample_96h_2,sample_96h_3,sample_96h_4,sample_96h_5
Negative,631.1269574,365.6377212,N1008-631.1-365.6,5430,5409.6,5389.1,5368.7,5348.3,5532.1767908392,5511.74056745783,5491.30434407647,5470.86812069511,5450.43189731375,5123.45232321194,5103.01609983057,5082.57987644921,5062.14365306785,5041.70742968648,5736.53902465283,5716.10280127147,5695.6665778901,5675.23035450874,5654.79413112738,5654.794131,5225.63344,5205.197217,5184.760993,5164.32477,5225.63344011875,5205.19721673739,5184.76099335603,5164.32476997466,5143.8885465933,8025.156796,8056.184305,8206.699125,5008.792656,3891.502757,6954.154346,8766.21484,4774.204794,4419.841406,5853.985955,7584.125151,8274.737008,7757.257149,3111.213014,2895.415875,7738.544972,8334.970113,7033.540856,6358.154054,3785.244026,4829.782818,8918.709566,6578.400385,3622.512513,4221.976162,5914.29533,7210.058188,7677.527555,6728.026769,4207.391788
Negative,631.3045459,1123.902419,"N1009-631.3-1,123.9",3902.5,3876.9,3851.3,3825.7,3800.1,4030.45239087835,4004.85532835024,3979.25826582212,3953.661203294,3928.06414076589,3518.51114031603,3492.91407778791,3467.31701525979,3441.71995273168,3416.12289020356,4286.42301615952,4260.8259536314,4235.22889110329,4209.63182857517,4184.03476604705,4184.034766,3646.496453,3620.89939,3595.302328,3569.705265,3646.49645295661,3620.89939042849,3595.30232790037,3569.70526537226,3544.10820284414,7051.010197,5549.06669,7459.622962,6889.787546,4958.962173,8820.048117,7701.974267,9701.656597,8201.808828,6837.244311,7234.087304,6428.126692,6051.519104,5289.51543,5462.020557,7526.972903,4220.130954,7066.477212,7322.351557,3819.401467,5514.532246,8865.153243,6938.969769,6012.745136,5772.439266,7902.655349,5174.637083,7459.535787,10728.98401,4822.340268
Negative,632.3170132,1218.064193,"N1010-632.3-1,218.1",7184.9,7122.4,7059.9,6997.4,6934.9,7497.42755266679,7434.92366825593,7372.41978384508,7309.91589943423,7247.41201502338,6247.34986444976,6184.84598003891,6122.34209562806,6059.83821121721,5997.33432680636,8122.4663967753,8059.96251236445,7997.4586279536,7934.95474354274,7872.45085913189,7872.450859,6559.869287,6497.365402,6434.861518,6372.357633,6559.86928650402,6497.36540209317,6434.86151768232,6372.35763327147,6309.85374886062,12042.95217,13433.41146,14813.60174,11454.93911,8082.540981,6410.996996,10457.1947,8036.405425,8292.052501,2456.644401,8263.460043,7152.964386,12373.83089,5074.328155,8356.26128,11247.48369,6545.403258,14453.1703,8560.333737,4456.399914,7083.180678,8509.14011,8354.372653,6339.933145,3459.634491,5845.934586,8236.629401,12627.18597,6941.190038,5453.282287
Negative,114.9886376,59.92264959,N10-115.0-59.9,3525.7,3537.6,3549.6,3561.6,3573.5,3465.83130823547,3477.79689702397,3489.76248581246,3501.72807460095,3513.69366338945,3705.14308400536,3717.10867279386,3729.07426158235,3741.03985037084,3753.00543915934,3346.17542035052,3358.14100913902,3370.10659792751,3382.07218671601,3394.0377755045,3394.037776,3645.31514,3657.280729,3669.246318,3681.211906,3645.31514006289,3657.28072885138,3669.24631763988,3681.21190642837,3693.17749521687,4544.328481,5336.64351,5029.339392,6815.999906,7138.905649,6016.151032,8937.021308,3271.904655,6524.868797,5996.40074,3141.948485,8041.355118,5014.986391,5180.594917,6882.103192,5668.584237,4835.950812,4253.174029,4319.18378,4694.205661,8684.671397,8266.197932,5328.156036,6310.297136,5338.045844,8169.802797,5507.42919,6062.937969,4962.48219,5053.750285
Negative,632.3068383,1454.162943,"N1011-632.3-1,454.2",49868.3,49575.4,49282.4,48989.5,48696.6,51332.9959392307,51040.0586813072,50747.1214233837,50454.1841654602,50161.2469075368,45474.2507807611,45181.3135228376,44888.3762649141,44595.4390069907,44302.5017490672,54262.3685184655,53969.431260542,53676.4940026185,53383.556744695,53090.6194867716,53090.61949,46938.93707,46645.99981,46353.06255,46060.1253,46938.9370703785,46645.999812455,46353.0625545315,46060.1252966081,45767.1880386846,52396.84858,37788.80809,50460.07866,52783.14988,50072.16952,30341.64292,33308.81902,48989.12046,39912.78882,55015.77519,46842.61439,42568.4143,49355.9847,62756.63832,58295.56218,44640.32313,43298.90152,43317.99158,50308.76549,65847.96716,21483.65239,41983.47768,44751.0947,34158.83539,61764.10009,45117.09939,46563.47216,39893.8267,35941.72912,71268.23845
Negative,632.8612959,60.66655029,N1012-632.9-60.7,1015.7,985.1,954.5,923.9,893.2,1168.78994369017,1138.17426415282,1107.55858461546,1076.94290507811,1046.32722554075,556.476352943088,525.860673405734,495.244993868379,464.629314331025,434.013634793671,1474.94673906371,1444.33105952636,1413.71537998901,1383.09970045165,1352.4840209143,1352.484021,709.5547506,678.9390711,648.3233916,617.707712,709.55475062986,678.939071092506,648.323391555151,617.707712017797,587.092032480443,3206.379982,2521.811082,3017.971617,736.5978728,3480.492611,2013.775609,3563.182217,2300.553188,3703.020727,4326.714482,1820.584519,3706.042934,1660.6824,2306.876487,804.2992482,2163.804564,636.8174508,4491.568843,2174.812838,1762.521725,1959.210666,2525.911733,2759.008632,621.7753297,2679.359675,2059.776492,1259.901232,1729.906846,3168.745702,624.5554711
Negative,274.9578481,61.138813,N101-275.0-61.1,36102.2,35764.4,35426.7,35088.9,34751.1,37790.9894322272,37453.2275727913,37115.4657133555,36777.7038539196,36439.9419944837,31035.7522435099,30697.9903840741,30360.2285246382,30022.4666652024,29684.7048057665,41168.6080265858,40830.84616715,40493.0843077141,40155.3224482782,39817.5605888424,39817.56059,32724.56154,32386.79968,32049.03782,31711.27596,32724.5615406893,32386.7996812534,32049.0378218175,31711.2759623817,31373.5141029458,52783.57777,52478.73907,50938.17099,51497.19412,59419.04488,55914.8331,58024.45331,55933.12268,56954.03147,56367.03927,48976.279,59851.83378,61222.07536,52864.52023,53422.44328,56236.5362,43625.96205,57235.68866,63459.93196,52628.40757,44542.45563,57363.64439,54850.93256,44801.44917,64399.16239,49795.70433,44976.09148,52097.0801,63660.96904,46767.47013
Negative,633.3099618,1454.211479,"N1013-633.3-1,454.2",17738.7,17604.9,17471.1,17337.3,17203.6,18407.5452599763,18273.7699284164,18139.9945968565,18006.2192652966,17872.4439337367,15732.0386287783,15598.2632972184,15464.4879656585,15330.7126340986,15196.9373025387,19745.2985755753,19611.5232440154,19477.7479124555,19343.9725808956,19210.1972493357,19210.19725,16400.91529,16267.13996,16133.36462,15999.58929,16400.9152865778,16267.1399550179,16133.364623458,15999.5892918981,15865.8139603382,17503.78302,15126.06445,15594.73096,17855.47479,18624.49376,11295.12803,12422.62349,16986.19586,13969.62883,20027.63091,16561.50988,16128.95441,17466.03762,22572.36417,21513.0213,14294.12587,14444.26588,14356.07135,18771.74423,22412.37751,8540.003264,14902.97325,17460.85098,12707.54896,22238.3934,16946.94328,16288.63244,15824.57198,12064.79587,25214.66629
Negative,633.3205898,1218.489485,"N1014-633.3-1,218.5",1680.1,1657.9,1635.6,1613.3,1591,1791.55192865881,1769.26965031152,1746.98737196423,1724.70509361694,1702.42281526964,1345.90636171298,1323.62408336568,1301.34180501839,1279.0595266711,1256.77724832381,2014.37471213173,1992.09243378444,1969.81015543715,1947.52787708985,1925.24559874256,1925.245599,1457.317753,1435.035475,1412.753197,1390.470918,1457.31775344944,1435.03547510214,1412.75319675485,1390.47091840756,1368.18864006027,2338.104523,2859.255012,2387.669096,2939.922158,1958.300785,1545.998912,1795.609537,1390.190056,845.880627,951.5547478,2288.191186,2224.42133,2655.999964,777.7062079,1048.402198,1651.870671,1241.636699,914.3037426,1590.999282,1551.704896,1915.795292,2588.200306,2026.921029,2128.406995,1737.092862,2625.665672,1703.294266,2082.722481,1120.197167,1005.00493
Negative,634.3121944,1454.199613,"N1015-634.3-1,454.2",3239.7,3227.2,3214.7,3202.1,3189.6,3302.42778399989,3289.89109527668,3277.35440655347,3264.81771783026,3252.28102910705,3051.69400953573,3039.15732081253,3026.62063208932,3014.08394336611,3001.5472546429,3427.79467123196,3415.25798250875,3402.72129378555,3390.18460506234,3377.64791633913,3377.647916,3114.377453,3101.840764,3089.304076,3076.767387,3114.37745315177,3101.84076442856,3089.30407570536,3076.76738698215,3064.23069825894,2922.465722,2877.040378,2043.32621,3479.868404,4079.653458,2208.941973,2089.184577,3098.778993,2665.648293,2890.686902,2359.462478,2914.57014,1748.271128,4692.099453,4076.952189,1452.311301,2940.158552,2201.464597,4183.114895,4618.064918,1327.238576,2562.548432,3156.085427,2646.449539,4301.23392,3886.751959,2723.383489,2653.801677,2635.661159,5743.231097
