"","NodeNames","Score","position","type","seed","lab","description","source"
"292","GO:0016616",0.000306650608563955,14,"MF","GRMZM2G483598","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (MF)","MF"
"293","GO:0016616",0.00195234217328682,14,"MF","GRMZM2G570968","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (MF)","MF"
"294","GO:0016787",0.000612567646376619,14,"MF","GRMZM2G570970","GO:0016787","hydrolase activity (MF)","MF"
"295","GO:0016841",0.00920707278610425,2,"MF","GRMZM2G587231","GO:0016841","ammonia-lyase activity (MF)","MF"
"296","GO:0003677",0.00453567645643699,3,"MF","GRMZM5G807838","GO:0003677","DNA binding (MF)","MF"
"297","GO:0003700",0.00902626339500196,8,"MF","GRMZM2G023346","GO:0003700","DNA-binding transcription factor activity (MF)","MF"
"298","GO:0050660",0.00321040043370792,8,"MF","AC185464.3_FG003","GO:0050660","flavin adenine dinucleotide binding (MF)","MF"
"299","GO:0005524",0.00429577121932554,4,"MF","AC210596.3_FG003","GO:0005524","ATP binding (MF)","MF"
"300","GO:0016787",0.00193071542417479,5,"MF","GRMZM2G001247","GO:0016787","hydrolase activity (MF)","MF"
"301","GO:0005515",0.0111321138732242,2,"MF","GRMZM2G001541","GO:0005515","protein binding (MF)","MF"
"302","GO:0017137",0.00509036940940425,8,"MF","GRMZM2G001661","GO:0017137","Rab GTPase binding (MF)","MF"
"303","GO:0016740",0.00373634722581014,6,"MF","GRMZM2G003417","GO:0016740","transferase activity (MF)","MF"
"304","GO:0020037",0.000768761958946179,9,"MF","GRMZM2G007256","GO:0020037","heme binding (MF)","MF"
"305","GO:0003677",0.00193802420046486,12,"MF","GRMZM2G009735","GO:0003677","DNA binding (MF)","MF"
"306","GO:0008270",0.00431324343057237,5,"MF","GRMZM2G014797","GO:0008270","zinc ion binding (MF)","MF"
"307","GO:0005524",0.00110721139612146,9,"MF","GRMZM2G026143","GO:0005524","ATP binding (MF)","MF"
"308","GO:0016853",0.0106421929090266,5,"MF","GRMZM2G035599","GO:0016853","isomerase activity (MF)","MF"
"309","GO:0003677",0.0013607029388994,3,"MF","GRMZM2G037015","GO:0003677","DNA binding (MF)","MF"
"310","GO:0004568",0.00144904339142616,25,"MF","GRMZM2G056772","GO:0004568","chitinase activity (MF)","MF"
"311","GO:0005524",0.00421570865792959,6,"MF","GRMZM2G061723","GO:0005524","ATP binding (MF)","MF"
"312","GO:0019789",0.0030445414770689,13,"MF","GRMZM2G063931","GO:0019789","SUMO transferase activity (MF)","MF"
"313","GO:0003677",0.00193497673161477,3,"MF","GRMZM2G075712","GO:0003677","DNA binding (MF)","MF"
"314","GO:0008168",0.00472784531098907,4,"MF","GRMZM2G078887","GO:0008168","methyltransferase activity (MF)","MF"
"315","GO:0005524",0.00293097192193143,10,"MF","GRMZM2G082199","GO:0005524","ATP binding (MF)","MF"
"316","GO:0003730",0.0221366766329803,2,"MF","GRMZM2G087186","GO:0003730","mRNA 3'-UTR binding (MF)","MF"
"317","GO:0016301",0.00257964278486438,5,"MF","GRMZM2G089400","GO:0016301","kinase activity (MF)","MF"
"318","GO:0038023",0.00378018961330103,7,"MF","GRMZM2G089720","GO:0038023","signaling receptor activity (MF)","MF"
"319","GO:0016740",0.00834333052735852,7,"MF","GRMZM2G093826","GO:0016740","transferase activity (MF)","MF"
"320","GO:0016301",0.0108552513111649,2,"MF","GRMZM2G103748","GO:0016301","kinase activity (MF)","MF"
"321","GO:0016831",0.00402631838021248,3,"MF","GRMZM2G103864","GO:0016831","carboxy-lyase activity (MF)","MF"
"322","GO:0005515",0.00803449686458803,6,"MF","GRMZM2G114294","GO:0005515","protein binding (MF)","MF"
"323","GO:0008236",0.000366526755592848,8,"MF","GRMZM2G119967","GO:0008236","serine-type peptidase activity (MF)","MF"
"324","GO:0016758",0.00220332135032187,10,"MF","GRMZM2G119975","GO:0016758","transferase activity, transferring hexosyl groups (MF)","MF"
"325","GO:0005524",0.00421748165401013,7,"MF","GRMZM2G122520","GO:0005524","ATP binding (MF)","MF"
"326","GO:0016491",0.00328293375798104,9,"MF","GRMZM2G124175","GO:0016491","oxidoreductase activity (MF)","MF"
"327","GO:0016301",0.00204016338082131,6,"MF","GRMZM2G124428","GO:0016301","kinase activity (MF)","MF"
"328","GO:0043531",0.00237202147456382,13,"MF","GRMZM2G125571","GO:0043531","ADP binding (MF)","MF"
"329","GO:0003677",0.00676795876993233,3,"MF","GRMZM2G138258","GO:0003677","DNA binding (MF)","MF"
"330","GO:0016747",0.00348544326272678,7,"MF","GRMZM2G145045","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups (MF)","MF"
"331","GO:0022857",0.000173288278765197,17,"MF","GRMZM2G160719","GO:0022857","transmembrane transporter activity (MF)","MF"
"332","GO:0005515",0.00167170340998386,11,"MF","GRMZM2G164640","GO:0005515","protein binding (MF)","MF"
"333","GO:0022857",0.00832689335338318,2,"MF","GRMZM2G174708","GO:0022857","transmembrane transporter activity (MF)","MF"
"334","GO:0005515",0.00575863227516145,7,"MF","GRMZM2G176548","GO:0005515","protein binding (MF)","MF"
"335","GO:0043621",0.00165745641348451,16,"MF","GRMZM2G177356","GO:0043621","protein self-association (MF)","MF"
"336","GO:0005524",0.00038973847122226,227,"MF","GRMZM2G351937","GO:0005524","ATP binding (MF)","MF"
"337","GO:0016616",9.19951825691865e-05,14,"MF","GRMZM2G483490","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (MF)","MF"
"338","GO:0022857",0.00367756238471678,16,"MF","GRMZM5G805732","GO:0022857","transmembrane transporter activity (MF)","MF"
"339","GO:0005515",0.00455445989397227,7,"MF","GRMZM5G883250","GO:0005515","protein binding (MF)","MF"
"340","GO:0035250",0.0116629485877526,4,"MF","AC185279.3_FG002","GO:0035250","UDP-galactosyltransferase activity (MF)","MF"
"341","GO:0005515",0.000872273896390324,11,"MF","AC187879.3_FG001","GO:0005515","protein binding (MF)","MF"
"342","GO:0030246",7.75505790059092e-05,25,"MF","AC188129.4_FG001","GO:0030246","carbohydrate binding (MF)","MF"
"343","GO:0030246",0.0073817620033261,6,"MF","AC191324.3_FG002","GO:0030246","carbohydrate binding (MF)","MF"
"344","GO:0030246",9.32660604319441e-05,17,"MF","AC193518.3_FG005","GO:0030246","carbohydrate binding (MF)","MF"
"345","GO:0035250",0.00118457095920159,14,"MF","AC195351.3_FG003","GO:0035250","UDP-galactosyltransferase activity (MF)","MF"
"346","GO:0030246",1.11625197957905e-05,22,"MF","AC203398.3_FG001","GO:0030246","carbohydrate binding (MF)","MF"
"347","GO:0030246",0.00112125420887681,10,"MF","AC206836.3_FG001","GO:0030246","carbohydrate binding (MF)","MF"
"348","GO:0016787",0.0172251753877654,3,"MF","AC208212.3_FG001","GO:0016787","hydrolase activity (MF)","MF"
"349","GO:0030246",2.10683983693832e-05,18,"MF","AC213981.3_FG001","GO:0030246","carbohydrate binding (MF)","MF"
"350","GO:0030246",0.000201014717831058,18,"MF","AC217270.3_FG004","GO:0030246","carbohydrate binding (MF)","MF"
"351","GO:0005524",0.000594715035796585,4,"MF","GRMZM2G071698","GO:0005524","ATP binding (MF)","MF"
"352","GO:0016491",0.00477314570435108,8,"MF","GRMZM2G091837","GO:0016491","oxidoreductase activity (MF)","MF"
"353","GO:0004190",0.00626579293326844,5,"MF","GRMZM2G102933","GO:0004190","aspartic-type endopeptidase activity (MF)","MF"
"354","GO:0005524",0.00198238344628551,4,"MF","GRMZM2G110553","GO:0005524","ATP binding (MF)","MF"
"355","GO:0030246",0.000670049056439127,18,"MF","GRMZM2G113869","GO:0030246","carbohydrate binding (MF)","MF"
"356","GO:0016491",0.00950506415996925,2,"MF","GRMZM2G120475","GO:0016491","oxidoreductase activity (MF)","MF"
"357","GO:0016491",0.000497554703723386,12,"MF","GRMZM2G137964","GO:0016491","oxidoreductase activity (MF)","MF"
"358","GO:0030246",0.00560025211652133,6,"MF","GRMZM2G174819","GO:0030246","carbohydrate binding (MF)","MF"
"359","GO:0016491",0.00149038560964208,41,"MF","GRMZM2G174827","GO:0016491","oxidoreductase activity (MF)","MF"
"360","GO:0016491",0.00479141303057506,10,"MF","GRMZM2G176354","GO:0016491","oxidoreductase activity (MF)","MF"
"361","GO:0030246",7.02279986511299e-05,18,"MF","GRMZM2G430029","GO:0030246","carbohydrate binding (MF)","MF"
"362","GO:0005524",0.000111069937637271,16,"MF","GRMZM2G482662","GO:0005524","ATP binding (MF)","MF"
"363","GO:0016491",0.00482716528478007,6,"MF","GRMZM2G588266","GO:0016491","oxidoreductase activity (MF)","MF"
"364","GO:0005515",0.00290757965463441,11,"MF","GRMZM2G701576","GO:0005515","protein binding (MF)","MF"
"365","GO:0005524",0.000370233125428073,16,"MF","GRMZM2G703772","GO:0005524","ATP binding (MF)","MF"
"366","GO:0005515",0.000872273896390323,11,"MF","GRMZM5G857998","GO:0005515","protein binding (MF)","MF"
"367","GO:0022857",0.00464897206786095,13,"MF","AC207342.3_FG008","GO:0022857","transmembrane transporter activity (MF)","MF"
"368","GO:0003743",0.0164876736270506,3,"MF","GRMZM2G004036","GO:0003743","translation initiation factor activity (MF)","MF"
"369","GO:0005524",0.00124303213758133,57,"MF","GRMZM2G005849","GO:0005524","ATP binding (MF)","MF"
"370","GO:0022857",0.00431850053109774,6,"MF","GRMZM2G020508","GO:0022857","transmembrane transporter activity (MF)","MF"
"371","GO:0016841",0.00309051500094169,6,"MF","GRMZM2G063679","GO:0016841","ammonia-lyase activity (MF)","MF"
"372","GO:0004601",0.000706155853538782,41,"MF","GRMZM2G316474","GO:0004601","peroxidase activity (MF)","MF"
"373","GO:0051015",0.0175859467073565,2,"MF","GRMZM2G413750","GO:0051015","actin filament binding (MF)","MF"
"374","GO:0005524",0.00574451904001825,24,"MF","GRMZM5G893864","GO:0005524","ATP binding (MF)","MF"
