"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,355.0691905,217.4511584,0.537,0.912,1.224,1.448,0.879,1.112,1.000,0.649,2.082,0.158,1.490,0.870,1.090,0.830,0.970,0.248,0.426,0.339,0.403,0.399,1.139,0.606,0.785,0.393,0.675,0.231,0.721,0.243,0.643,0.488,0.374,0.738,0.148,0.723,0.703,0.400,0.624,0.536,0.893,0.736
Negative,352.104369,314.0109901,0.776,0.860,0.991,1.420,0.953,1.198,1.348,1.251,1.018,0.184,1.120,1.030,1.240,2.350,2.150,1.449,2.007,2.559,1.732,2.492,2.012,1.729,2.091,1.745,1.290,1.189,1.208,1.749,1.777,1.129,1.544,1.831,1.807,1.365,2.347,1.691,1.350,0.684,2.083,1.460
Negative,349.1861116,442.6475256,1.482,1.092,0.320,0.000,2.106,0.993,2.441,0.095,1.339,0.132,0.960,3.440,0.850,2.160,1.160,4.997,3.848,3.860,1.911,5.130,3.017,2.512,0.823,2.424,0.857,1.547,3.233,0.445,3.447,1.669,4.473,2.589,2.615,2.320,2.856,3.429,1.849,1.315,5.564,1.632
Negative,1393.345823,493.0172174,0.763,0.815,1.508,1.126,0.788,0.768,1.757,1.092,1.345,0.038,1.280,1.560,1.150,2.210,1.520,1.232,1.341,0.880,0.458,2.142,2.029,2.071,2.094,2.740,2.783,1.083,0.833,1.333,1.709,1.904,0.930,1.402,0.944,1.615,3.830,2.305,0.995,1.314,2.277,1.769
Negative,339.0724012,637.2236496,0.758,0.809,1.120,1.496,0.817,0.899,1.827,0.858,1.070,0.346,1.570,1.340,4.720,11.460,3.960,3.742,3.436,19.426,9.753,4.853,3.375,5.991,9.487,18.868,3.488,2.835,1.419,1.606,1.805,3.126,1.274,2.799,5.206,2.187,7.402,1.850,0.438,0.964,0.960,2.068
Negative,337.092872,266.9544901,0.698,1.312,0.943,1.201,0.846,1.604,1.172,0.631,1.312,0.282,1.740,1.520,1.120,1.060,3.910,1.276,1.575,0.798,1.822,1.763,1.635,2.885,3.101,1.347,2.597,0.734,1.203,1.135,0.888,1.381,1.111,2.255,1.091,1.856,2.477,1.482,1.718,1.564,2.100,1.311
Negative,1320.819284,491.5215417,0.399,0.879,1.340,1.303,1.079,0.785,1.125,1.397,1.693,0.000,1.780,1.610,1.190,1.140,2.200,1.410,1.266,0.451,1.277,2.168,1.707,1.784,3.421,1.308,2.154,0.652,0.513,0.856,2.418,1.776,1.021,1.515,0.954,2.191,1.733,2.680,0.788,1.388,2.965,1.485
Negative,335.1707566,376.2742995,1.131,1.225,0.739,1.073,0.832,1.077,3.026,0.491,0.400,0.007,1.580,4.270,1.890,2.620,1.390,5.656,4.986,1.634,1.966,6.445,3.505,4.416,1.982,2.589,4.004,2.889,1.954,2.718,4.064,5.184,3.690,3.909,4.285,5.093,7.254,3.338,3.334,2.433,6.947,4.623
Negative,1291.768158,43.36151462,0.883,0.790,0.872,1.023,1.432,0.525,0.674,0.903,0.756,2.141,0.630,0.600,0.320,0.720,0.230,0.655,0.597,0.225,1.142,0.446,0.590,0.645,1.368,0.289,0.717,0.617,0.675,0.363,0.902,0.902,0.621,0.695,2.175,0.684,0.679,0.299,0.648,1.145,0.753,0.736
Negative,335.077545,358.7014959,0.298,0.973,0.442,2.134,1.153,1.842,1.122,1.024,0.814,0.198,1.080,0.400,0.430,0.590,2.040,0.375,0.403,0.782,0.667,0.877,0.758,1.116,0.691,1.396,1.749,0.159,0.393,0.415,0.532,0.359,0.124,0.691,0.630,0.265,0.920,0.565,0.909,1.065,1.292,0.908
Negative,1257.297559,490.6620573,0.848,0.698,1.505,1.226,0.723,1.425,1.329,0.529,1.717,0.000,2.290,1.950,0.870,1.070,1.550,0.975,0.899,0.576,1.543,0.907,1.967,1.763,2.221,2.869,2.467,0.456,0.528,0.821,1.339,1.666,0.845,1.800,0.721,2.354,3.416,2.348,0.668,1.132,2.329,1.864
Negative,1252.278179,420.3954292,0.684,0.640,0.510,2.381,0.785,1.677,1.213,1.489,0.621,0.000,2.020,1.150,2.450,0.870,1.060,1.874,1.262,0.612,2.997,1.108,2.018,1.911,2.258,3.817,1.784,2.020,0.829,1.456,1.276,0.598,1.491,1.135,1.679,2.695,1.112,2.835,1.235,2.191,0.584,1.754
Negative,333.1677855,949.5354527,0.640,1.159,1.401,0.991,0.809,1.768,1.161,0.891,1.168,0.012,1.720,1.320,1.130,1.630,2.860,1.014,1.558,1.361,0.938,0.738,2.627,3.100,2.957,1.986,2.297,0.668,0.993,1.357,0.740,0.511,1.304,1.418,2.163,1.426,2.689,3.209,1.200,1.277,3.275,1.767
Negative,331.067419,112.6623797,2.039,2.739,0.070,0.000,0.152,0.680,2.344,0.648,1.328,0.000,0.120,4.080,12.960,20.340,48.330,8.757,13.294,29.514,16.834,30.008,12.727,8.292,12.638,11.244,3.164,12.961,3.914,0.202,3.038,3.397,6.291,2.048,3.778,4.532,11.069,2.663,2.115,0.163,1.811,3.773
Negative,1234.777377,20.69791493,0.543,0.561,0.830,1.055,2.010,1.074,0.528,0.602,1.343,1.455,0.570,0.760,0.700,0.700,0.640,0.535,0.443,0.707,0.539,1.169,0.469,0.445,1.203,0.694,0.691,0.683,0.618,0.612,0.701,0.573,0.329,0.361,0.606,0.621,0.492,0.444,0.490,0.613,0.612,0.663
Negative,1216.333462,560.8281747,0.591,0.949,1.267,0.712,1.482,1.321,1.851,0.895,0.932,0.000,1.280,2.420,1.300,1.740,2.380,1.169,2.476,1.563,1.726,2.793,2.143,2.214,1.782,2.125,3.453,1.406,1.742,1.236,2.183,3.495,1.050,1.853,1.214,2.146,4.819,2.596,1.559,1.660,3.841,3.013
Negative,1215.333724,560.53186,0.567,0.959,1.297,1.332,0.846,1.293,1.901,0.918,0.888,0.000,1.380,1.870,0.670,1.750,1.670,1.612,2.211,0.951,1.091,2.933,1.806,2.019,2.147,2.469,1.773,1.197,1.480,1.909,1.388,2.980,1.080,1.554,1.129,1.899,3.305,2.477,1.389,1.194,1.866,1.422
Negative,96.95982677,84.10593044,1.244,1.818,1.632,0.136,0.170,1.273,1.582,0.992,0.916,0.237,1.930,2.760,1.970,0.560,1.840,0.592,2.263,2.048,0.419,2.660,1.899,0.224,3.859,1.638,2.610,1.780,0.183,2.064,0.180,2.764,1.023,2.478,3.889,2.753,3.265,2.390,1.427,2.402,2.594,2.336
Negative,1188.811751,463.5210207,0.454,0.736,1.237,1.697,0.876,1.398,0.993,1.234,1.319,0.056,1.980,1.250,1.820,1.930,2.210,1.306,1.293,1.333,1.593,1.756,2.129,1.691,1.805,2.487,2.969,1.193,0.925,1.183,1.954,2.067,0.817,1.943,1.523,1.557,3.215,2.227,0.906,1.477,2.981,1.845
Negative,1187.808669,463.4724096,0.479,0.763,1.210,1.679,0.868,1.209,1.089,1.361,1.324,0.018,1.780,1.350,1.720,1.800,1.960,1.283,1.249,1.350,1.560,1.705,2.044,1.746,1.749,2.356,2.511,1.157,0.937,1.241,1.973,1.979,0.797,1.804,1.608,1.372,3.072,2.119,0.951,1.482,2.869,1.721
Negative,1187.324199,561.7493347,0.358,1.512,0.208,1.325,1.596,0.846,2.131,1.047,0.976,0.000,1.180,4.270,0.640,0.800,3.610,4.253,4.627,1.298,1.806,1.055,2.822,5.125,4.346,3.673,5.868,1.781,1.696,1.521,2.771,4.179,0.604,5.220,1.127,1.572,5.790,3.899,1.976,1.954,7.112,3.163
Negative,1187.302409,419.9268126,0.407,1.350,0.524,1.486,1.234,1.053,1.867,0.391,1.689,0.000,3.250,1.770,0.000,0.570,2.880,2.026,1.782,1.276,1.788,1.296,2.596,4.321,2.354,2.122,4.220,0.877,0.910,0.750,1.435,1.362,0.691,2.425,1.874,0.000,3.884,2.392,1.801,0.827,3.962,2.576
Negative,1187.297022,528.5215807,0.530,0.932,0.206,1.726,1.606,0.501,1.653,0.000,2.846,0.000,2.180,3.210,1.590,0.450,3.350,1.429,1.030,1.755,4.214,21.960,5.448,6.461,3.855,4.766,10.130,1.555,0.727,0.416,1.290,21.789,0.344,3.951,1.068,0.613,6.039,7.201,1.312,0.502,6.002,5.940
Negative,1181.289541,506.514536,0.944,1.303,1.506,0.836,0.410,1.527,0.854,1.394,0.812,0.414,1.350,2.760,1.910,1.220,1.030,1.700,2.533,1.214,1.149,1.184,2.013,2.379,2.720,0.826,2.132,0.786,1.383,1.836,1.257,0.857,1.406,2.332,1.240,1.830,1.588,0.882,1.478,1.924,2.097,1.604
Negative,1181.289734,561.4815509,0.294,1.038,0.713,1.612,1.343,0.927,1.572,1.150,1.313,0.039,1.240,1.540,1.230,1.030,2.480,2.481,2.006,0.622,1.398,2.607,2.350,1.953,2.479,2.020,2.748,0.585,1.260,0.648,1.804,1.776,0.573,1.942,0.158,1.931,3.627,1.264,1.839,2.611,4.009,2.503
Negative,1179.304018,493.5402964,0.611,0.984,1.644,0.824,0.936,1.224,1.866,0.902,1.000,0.008,1.210,2.200,1.180,1.770,2.670,1.129,2.048,1.199,0.839,1.769,3.005,3.497,3.101,2.477,3.036,1.147,1.026,1.605,1.545,1.855,1.105,2.566,1.351,1.682,2.698,2.214,1.154,1.982,2.949,1.007
Negative,1178.301524,493.6914872,0.464,0.896,1.415,1.311,0.913,1.070,1.958,0.426,1.354,0.192,1.580,1.900,1.400,1.950,2.460,1.358,1.828,0.627,0.878,1.963,1.707,2.586,1.891,2.204,1.856,1.435,1.190,1.694,1.550,2.219,0.797,2.246,0.799,1.814,3.137,2.029,1.102,1.136,2.385,1.596
Negative,1173.177905,335.2685001,0.490,1.567,0.860,1.326,0.757,1.706,1.759,1.258,0.277,0.000,3.220,2.560,3.140,1.510,1.660,1.636,1.200,1.578,0.980,1.705,3.324,3.923,2.610,2.436,2.825,1.348,1.502,1.119,2.332,0.833,0.842,3.407,2.372,1.708,3.266,3.779,1.915,1.866,2.815,1.792
Negative,1171.291797,531.7125514,0.598,0.931,1.547,0.980,0.944,1.168,1.626,1.001,1.155,0.049,1.050,1.830,1.140,1.420,1.750,1.626,1.903,1.021,1.189,1.667,1.927,4.070,2.134,1.350,2.127,0.891,0.983,1.736,1.600,3.891,0.855,1.934,1.349,3.091,2.586,1.901,1.123,1.114,2.024,1.659
Negative,1170.800088,506.5139205,0.538,1.109,0.873,1.269,1.211,1.737,0.427,1.007,1.829,0.000,2.440,1.850,1.790,2.210,2.500,1.673,2.382,1.629,0.847,1.608,2.001,1.974,2.851,1.904,2.257,1.161,1.280,1.392,1.122,2.303,1.177,2.070,0.622,1.476,4.401,2.956,1.355,0.848,2.337,2.182
Negative,1170.295763,531.7373452,0.571,0.873,1.144,1.330,1.082,1.140,1.509,1.179,1.172,0.000,0.930,1.590,3.020,1.680,4.020,1.342,1.595,1.069,0.891,1.844,1.841,1.944,2.169,1.776,4.085,1.118,1.015,1.508,1.850,2.121,0.875,3.614,1.249,3.441,2.601,2.022,0.869,1.167,2.283,1.535
Negative,1169.799075,506.0368655,0.494,1.296,1.063,1.205,0.942,1.070,1.835,1.054,1.041,0.000,1.360,1.690,1.140,1.540,2.030,1.310,1.609,1.113,1.159,2.018,1.740,2.067,1.990,2.981,2.400,0.935,1.087,1.375,1.704,1.997,0.805,1.702,1.125,1.538,2.782,1.986,1.239,1.401,2.711,1.803
Negative,1167.792937,15.14451636,1.222,0.683,0.944,1.013,1.137,1.032,0.753,0.667,1.523,1.026,0.590,0.760,0.280,1.160,1.150,0.811,0.573,0.776,0.668,0.403,0.438,0.692,2.791,1.567,0.681,0.189,0.455,0.837,0.373,0.389,0.772,0.676,0.326,0.997,0.839,0.993,0.769,0.945,0.828,0.660
Negative,1156.314974,546.8828584,0.328,0.920,0.725,2.323,0.703,1.367,1.698,0.474,1.461,0.000,3.170,2.410,1.360,1.570,1.490,1.387,1.990,1.746,0.367,2.362,3.357,3.240,3.214,2.729,1.509,1.526,0.814,1.297,1.317,2.258,0.722,2.644,0.898,2.374,5.332,2.861,1.065,0.985,5.009,2.330
Negative,1155.313166,546.9556786,0.497,0.988,1.535,1.502,0.478,1.471,0.985,1.080,1.464,0.000,1.880,1.830,1.440,2.120,1.180,1.335,1.496,0.926,0.499,1.742,2.497,2.522,2.251,2.454,0.844,1.109,0.371,1.332,1.576,2.931,0.695,2.133,0.818,2.014,2.509,2.554,1.140,2.084,3.750,1.832
Negative,1155.313474,435.3905657,0.349,0.146,3.237,1.268,0.000,1.766,2.121,0.535,0.026,0.552,2.420,3.700,0.000,3.030,0.620,9.256,12.633,3.696,1.848,3.327,9.138,3.917,0.182,7.112,4.416,6.289,5.750,0.026,5.705,9.796,3.089,2.059,1.529,2.300,3.714,8.752,6.529,5.645,9.835,4.786
Negative,1153.302916,561.4152405,0.165,0.978,1.513,1.788,0.556,1.230,2.109,0.218,1.443,0.000,2.210,2.100,1.430,1.900,3.090,1.754,2.201,0.560,1.719,2.222,2.732,3.793,1.941,3.010,0.741,0.537,0.947,1.586,2.150,1.933,1.008,2.502,0.926,4.633,4.058,3.116,2.343,0.951,5.219,4.373
Negative,1152.792554,532.6357626,0.618,1.010,1.012,1.477,0.882,1.201,2.088,0.634,1.077,0.000,1.760,2.270,1.090,1.690,2.370,1.256,1.744,0.732,0.930,2.253,2.679,2.782,2.775,2.517,2.137,1.236,0.838,1.419,1.750,2.203,0.970,2.673,1.072,2.239,3.842,2.805,1.119,1.345,3.491,1.837
Negative,325.0886117,284.4544546,1.052,1.077,0.751,0.962,1.159,1.329,1.707,0.954,0.841,0.169,2.030,1.740,1.230,2.200,4.400,1.773,2.422,1.985,2.464,3.219,2.142,2.768,1.408,2.588,2.974,0.826,1.810,1.602,2.345,2.987,0.985,2.624,1.582,1.756,1.784,1.791,1.384,1.330,1.903,2.200
Negative,1137.302917,546.9211734,0.309,0.929,1.623,1.529,0.609,1.325,1.666,0.309,1.701,0.000,2.130,2.270,0.880,1.700,1.340,1.652,1.948,0.623,0.717,2.224,2.281,2.960,1.822,1.387,1.866,1.144,0.930,1.480,1.102,2.331,0.723,2.304,0.125,1.707,3.141,2.396,1.098,1.385,4.260,2.220
Negative,1137.30367,561.2458447,0.344,0.966,1.481,1.376,0.833,1.246,1.388,0.940,1.367,0.059,1.590,1.900,0.990,1.800,1.420,1.454,1.701,1.040,0.924,2.139,3.154,1.989,2.044,1.479,1.583,1.345,1.046,1.372,1.521,2.334,0.789,1.703,0.301,1.383,2.813,1.816,1.331,0.530,3.346,1.918
Negative,1120.296889,585.8969943,0.533,0.986,1.487,1.137,0.858,1.227,1.315,0.754,1.704,0.000,1.850,1.740,0.990,2.230,1.250,1.039,1.634,0.875,0.217,1.778,2.034,2.839,2.058,2.045,1.280,1.088,0.683,1.136,1.696,1.984,0.553,1.849,0.441,1.954,2.857,2.113,0.910,1.075,3.230,1.948
Negative,1117.446263,496.0389562,0.527,0.849,0.837,1.223,1.564,1.573,0.265,0.831,2.286,0.046,0.000,0.340,2.980,2.480,2.520,0.225,0.634,3.256,1.702,2.461,2.173,0.550,3.486,3.735,3.931,0.019,0.281,1.169,2.731,1.965,1.038,0.661,2.283,4.169,1.968,0.239,0.525,1.214,1.386,2.649
Negative,1114.276714,492.3780055,0.570,0.961,1.465,1.227,0.778,0.965,2.132,0.358,1.513,0.033,1.220,1.570,1.110,0.730,0.560,1.328,1.117,0.670,1.789,0.463,2.557,1.933,1.433,1.559,2.513,0.867,0.735,1.416,1.080,2.202,1.062,1.822,0.464,1.854,3.197,1.573,1.124,1.313,1.996,0.606
Negative,1110.46941,43.85201676,0.704,0.880,1.182,0.798,1.436,2.152,0.550,0.814,0.386,1.098,0.590,0.880,0.840,1.120,0.920,0.505,0.644,0.964,1.450,1.058,0.599,0.571,0.717,0.371,0.244,0.537,0.715,0.805,5.182,3.871,0.629,0.531,0.979,1.129,0.701,0.573,0.607,3.493,0.950,2.979
Negative,1099.214865,272.8493121,0.203,2.191,0.804,1.789,0.012,1.218,0.396,0.000,1.354,2.032,1.510,0.810,1.260,0.950,1.590,0.250,0.105,0.133,0.227,0.098,0.572,1.071,0.981,0.286,1.325,0.142,0.265,1.124,0.381,0.428,0.076,1.120,0.000,0.639,0.630,0.294,0.378,0.264,1.159,0.164
Negative,1098.76098,492.4829577,0.659,1.350,1.644,0.808,0.539,1.759,2.235,0.357,0.635,0.014,1.490,0.970,0.780,2.150,3.230,1.239,2.393,2.008,0.361,3.859,1.440,1.979,1.742,1.053,2.180,0.760,1.189,1.952,0.764,1.682,1.570,3.164,1.677,2.849,2.004,2.037,1.527,1.863,2.960,2.739
Negative,315.1811346,733.8161575,1.064,1.366,1.146,0.865,0.559,1.289,1.549,0.556,1.357,0.249,0.780,3.200,1.770,2.730,2.100,1.204,1.293,2.532,1.746,2.143,1.680,2.507,1.744,2.524,3.510,1.112,1.128,1.039,2.772,2.811,0.750,1.640,1.647,1.747,4.635,1.543,0.761,1.359,2.057,1.583
Negative,1066.378742,559.0836106,0.688,1.290,0.936,1.284,0.803,0.701,2.714,0.811,0.774,0.000,2.150,2.370,1.550,2.710,4.550,3.782,3.681,1.389,1.640,2.467,3.729,5.546,2.035,4.188,2.709,2.746,3.002,1.100,3.630,4.789,2.320,4.127,1.591,2.480,9.307,5.506,1.610,2.206,4.104,0.751
Negative,1065.377062,559.3815526,0.699,0.967,0.673,1.985,0.676,1.505,1.899,0.329,0.922,0.346,2.140,2.380,2.500,3.140,2.870,3.166,4.407,2.192,1.524,8.208,4.596,3.892,4.919,3.217,5.077,1.344,1.315,2.205,3.543,3.596,2.118,3.489,2.828,2.800,5.041,4.469,1.516,2.162,5.353,1.618
Negative,315.1090197,313.9739576,0.549,1.218,1.044,0.711,1.478,1.044,1.918,1.593,0.307,0.137,0.980,1.590,1.150,8.480,4.820,2.619,2.620,11.036,6.405,3.920,1.824,3.227,4.506,3.016,2.288,2.588,2.014,0.829,2.198,4.963,1.349,2.607,3.020,0.934,5.837,1.960,0.791,0.489,1.074,1.233
Negative,1062.276606,273.3179609,0.006,1.877,0.294,2.763,0.060,1.376,0.119,0.000,3.505,0.000,1.680,0.330,1.330,0.400,4.140,0.052,0.029,0.977,0.545,0.113,0.476,2.102,0.501,0.845,1.941,0.000,0.069,0.626,0.186,0.426,0.014,0.673,0.349,0.438,1.271,0.007,0.217,0.270,1.286,0.400
Negative,1062.2765,196.1764577,0.210,0.543,0.713,2.713,0.821,1.669,0.906,0.114,2.312,0.000,1.240,0.560,1.280,1.010,5.860,0.786,0.655,0.408,1.222,2.182,1.497,2.766,1.708,2.655,5.609,0.217,0.509,1.483,1.316,1.466,0.181,1.499,0.703,1.364,4.217,0.815,0.853,0.437,3.024,2.460
Negative,1061.272496,273.282811,0.089,1.916,0.389,2.591,0.015,1.245,0.190,0.008,3.557,0.000,1.740,0.470,1.400,0.570,4.100,0.029,0.074,0.017,0.197,0.220,0.509,1.906,0.669,0.655,1.834,0.025,0.085,0.740,0.179,0.394,0.017,0.891,0.093,0.473,1.437,0.128,0.244,0.125,1.362,0.379
Negative,1061.272228,196.3708589,0.263,0.553,0.861,2.377,0.946,1.563,1.177,0.344,1.916,0.000,1.230,0.710,0.850,1.030,5.070,0.799,0.683,0.185,1.118,1.961,1.496,2.964,1.957,2.871,6.217,0.191,0.373,0.887,1.158,1.315,0.322,1.827,0.487,1.384,4.236,0.968,0.636,0.527,2.893,2.190
Negative,1057.240273,462.3538826,1.056,1.273,0.442,0.380,1.849,1.032,0.576,2.701,0.058,0.634,1.610,1.160,0.000,0.370,0.010,0.599,0.774,0.148,0.625,0.641,1.027,0.765,0.000,0.000,0.058,0.465,1.258,1.071,0.416,0.391,1.027,1.342,0.013,0.671,0.000,1.351,1.399,0.000,1.067,1.048
Negative,315.0720889,132.9861298,0.836,3.865,0.228,0.071,0.000,1.005,3.995,0.000,0.000,0.000,0.630,6.610,19.990,62.680,100.220,28.327,31.915,83.348,90.308,85.090,14.041,15.958,25.976,31.406,2.366,35.746,9.225,0.142,1.359,45.396,10.252,4.181,5.592,10.844,30.419,1.786,0.802,1.669,1.381,2.054
Negative,1035.3638,558.7382788,0.184,1.167,1.044,1.931,0.673,1.945,2.335,0.086,0.633,0.000,2.380,3.630,0.610,1.190,4.070,4.483,3.365,1.041,0.686,5.471,4.107,6.071,3.913,5.914,3.988,1.856,1.365,1.775,3.096,4.359,2.175,4.335,1.945,1.684,6.136,4.531,1.007,0.919,3.327,2.390
Negative,1025.246655,491.8457125,1.061,0.759,1.303,1.332,0.545,1.351,2.227,0.609,0.474,0.339,1.970,2.550,0.540,1.420,1.920,0.778,1.522,0.718,1.292,1.383,1.381,1.957,2.876,0.608,1.539,0.993,0.935,0.091,1.916,2.385,1.532,2.809,0.414,1.629,0.623,2.878,2.129,1.055,2.096,2.518
Negative,1020.154965,17.00055595,1.317,0.957,0.532,0.255,1.939,0.762,1.604,0.700,1.354,0.580,0.920,1.110,0.640,0.830,0.710,1.020,1.237,0.498,0.908,1.646,0.794,0.764,0.903,0.553,1.360,0.329,0.498,0.628,0.304,0.586,0.556,0.807,0.889,0.378,0.746,0.695,0.882,0.994,0.506,1.303
Negative,1019.487095,16.67148748,0.606,0.751,0.774,1.508,1.361,0.737,1.124,1.319,0.984,0.835,0.780,2.380,2.490,2.720,2.690,0.790,2.167,1.019,1.404,1.863,0.925,0.667,1.344,1.361,3.290,0.731,2.038,2.271,1.225,1.441,0.816,1.156,1.237,0.880,1.364,1.918,1.211,1.022,1.114,1.489
Negative,1018.358714,558.3831151,0.259,0.914,1.689,1.680,0.458,0.501,2.223,0.081,1.882,0.313,1.900,2.830,1.260,2.270,2.920,2.931,2.705,1.320,1.984,3.133,2.540,3.068,2.375,2.308,2.757,1.336,1.419,1.228,3.843,3.258,0.451,2.743,2.905,1.694,3.506,3.233,1.460,1.331,3.401,0.631
Negative,1017.355614,558.3835974,0.250,1.077,1.543,1.063,1.066,1.211,1.465,1.518,0.806,0.000,1.670,2.620,1.310,1.130,4.060,2.059,2.770,1.519,2.269,4.046,3.262,3.639,2.329,2.210,3.017,1.707,1.943,2.226,3.201,3.104,1.316,2.251,2.126,2.419,5.399,2.712,1.491,1.542,5.886,2.718
Negative,1011.327342,502.4134585,0.421,2.058,0.693,1.291,0.538,1.690,2.725,0.000,0.585,0.000,1.440,2.400,3.500,3.340,8.470,1.277,2.726,3.454,1.570,2.501,4.014,4.489,3.210,5.721,4.198,1.307,1.080,1.754,3.379,3.186,0.618,3.177,0.833,1.678,12.737,3.035,1.212,0.965,1.163,0.898
Negative,1007.242102,586.3494684,0.860,0.985,0.000,2.262,0.893,0.796,1.967,0.000,2.237,0.000,4.290,3.030,1.670,2.670,2.020,1.259,1.292,0.000,0.223,3.308,2.322,0.710,1.282,1.497,0.347,1.745,0.986,0.040,2.442,4.577,0.589,4.243,0.757,1.818,5.153,3.087,2.508,1.136,0.932,1.051
Negative,993.319049,504.40909,0.745,2.064,1.029,0.348,0.815,1.620,2.138,0.192,0.227,0.823,2.180,1.270,1.800,1.720,3.210,0.975,3.819,3.156,1.181,2.788,2.556,3.210,0.339,1.536,3.827,1.684,1.107,1.211,2.316,2.614,1.392,1.926,0.608,0.355,11.023,1.424,0.714,1.291,1.477,1.290
Negative,986.2044457,418.2348946,0.626,1.085,0.947,1.287,1.056,1.412,1.829,0.711,1.047,0.000,2.070,1.510,0.300,2.080,3.020,1.392,3.427,1.873,2.464,2.296,2.236,2.266,2.055,1.623,3.576,1.501,1.246,1.572,1.296,1.405,0.930,2.321,2.210,1.586,3.846,2.117,1.323,1.643,2.499,1.846
Negative,311.2218801,1139.130995,0.634,1.250,0.815,1.247,1.054,0.717,0.896,1.293,1.850,0.243,0.630,1.540,0.920,2.000,2.550,1.091,1.080,1.727,1.887,2.242,2.105,2.155,2.138,2.670,1.933,1.430,0.968,0.939,0.720,1.863,0.551,1.229,1.595,1.410,4.398,1.944,0.493,1.141,1.172,1.197
Negative,945.2584592,508.3501665,1.659,1.468,0.094,1.369,0.410,0.740,1.603,1.097,1.560,0.000,1.270,0.850,0.350,1.450,0.860,3.599,2.092,2.098,0.680,2.305,3.348,1.063,2.464,2.783,1.318,1.966,1.274,0.276,2.820,1.867,1.054,2.093,1.322,0.486,0.888,3.876,0.000,0.714,1.659,1.101
Negative,942.2906737,517.9150844,0.000,1.640,0.000,0.000,3.360,0.138,0.204,0.000,3.960,0.698,2.500,4.740,3.750,8.800,3.980,3.907,1.979,12.856,5.839,6.694,2.910,4.951,0.341,5.587,2.004,22.393,3.225,0.389,2.984,7.196,0.100,2.413,0.000,0.000,3.453,1.734,0.477,0.732,2.269,1.941
Negative,941.2876384,517.730582,1.062,0.876,1.055,0.122,1.886,0.701,0.799,0.177,3.194,0.128,1.710,3.530,3.200,6.020,5.000,4.598,2.454,8.063,3.150,5.338,2.522,3.241,1.779,4.616,2.665,9.585,2.738,1.343,2.284,6.063,0.488,2.641,2.232,1.366,5.536,1.116,0.525,1.005,1.363,1.809
Negative,311.1130958,430.3517537,0.600,1.084,0.958,1.363,0.995,0.979,1.821,0.550,1.399,0.251,0.940,2.050,1.660,3.990,5.380,1.594,1.567,4.050,4.022,3.587,2.213,2.025,3.390,2.571,2.130,1.602,1.576,1.675,2.427,3.345,1.327,2.051,1.915,1.635,4.396,1.727,1.020,1.128,1.408,1.897
Negative,925.6108794,1203.490571,0.355,0.923,1.832,1.468,0.422,0.916,0.752,1.063,1.235,1.033,1.740,1.950,1.130,1.670,1.890,3.954,3.419,3.996,0.640,4.840,5.138,5.269,4.539,2.087,2.433,2.680,1.416,2.380,2.687,1.600,1.269,3.218,3.107,2.180,6.789,3.994,2.030,2.911,1.756,0.999
Negative,923.2775152,518.1895586,1.032,2.039,0.187,0.000,1.743,0.552,1.086,0.000,3.362,0.000,2.420,6.210,4.670,7.970,11.610,6.194,3.689,11.393,6.147,10.249,4.030,5.584,2.028,7.201,5.160,15.547,4.549,3.089,5.972,9.910,0.754,4.020,2.802,3.639,7.116,3.138,1.049,1.989,1.760,2.795
Negative,923.2439678,725.3592543,0.366,1.758,1.058,1.287,0.531,0.834,1.750,0.340,1.655,0.421,0.500,1.270,1.820,2.280,1.230,0.326,1.245,1.026,0.729,1.396,2.349,4.173,1.386,2.495,2.487,0.902,0.767,1.903,2.027,1.850,0.803,2.243,0.799,1.315,3.548,2.429,0.572,2.031,1.391,0.552
Negative,903.2018637,273.7455372,0.060,2.652,0.530,1.754,0.004,2.120,0.068,0.011,2.800,0.000,1.840,0.920,1.160,0.720,2.290,0.069,0.435,0.000,0.269,0.025,0.622,3.443,0.819,1.465,1.576,0.047,0.039,0.620,0.519,0.714,0.000,1.148,0.000,0.090,1.233,0.291,0.199,0.508,1.318,0.292
