"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,591.2243472,404.8320556,0.621,1.264,2.536,0.550,0.029,1.427,0.882,0.469,1.778,0.443,5.990,5.800,8.710,5.990,7.050,5.924,11.506,6.672,1.614,11.232,2.822,10.114,5.489,5.952,8.095,3.346,3.406,8.393,4.776,8.518,2.799,10.703,15.207,9.106,9.074,7.173,1.640,4.063,16.451,5.288
Negative,589.4361961,1203.992331,0.244,1.140,1.727,0.971,0.918,0.948,1.413,0.961,1.544,0.134,3.090,1.710,0.490,2.490,3.490,2.926,3.330,3.508,2.477,7.019,3.507,2.482,3.184,3.402,4.889,1.457,1.106,0.664,2.948,3.705,1.081,2.885,1.445,2.245,9.904,3.555,0.556,1.946,3.391,2.417
Negative,588.8977534,1727.930293,0.154,1.449,0.353,2.622,0.421,1.008,1.594,1.041,0.487,0.871,0.440,0.330,0.580,1.980,0.470,1.040,1.162,1.621,1.291,0.483,0.586,0.563,0.224,0.216,0.553,1.064,0.214,0.047,1.571,0.444,0.974,1.054,0.067,1.092,0.588,0.895,0.914,0.696,1.240,0.663
Negative,588.43396,1203.906408,0.153,0.646,1.161,1.096,1.945,0.421,0.877,1.132,2.570,0.000,1.830,1.370,0.850,2.270,4.650,2.507,1.916,3.608,2.064,8.967,3.130,2.809,2.677,5.131,5.249,2.824,1.176,2.189,2.468,3.637,0.827,2.499,3.685,2.472,8.816,2.543,1.686,2.626,4.089,2.913
Negative,587.4303135,1203.961517,0.399,0.874,1.493,1.143,1.092,0.946,1.213,1.227,1.605,0.009,1.490,1.420,1.400,2.190,2.760,1.796,1.656,2.709,1.913,5.250,2.112,2.252,2.117,2.631,3.581,1.866,1.199,1.438,2.406,2.422,1.021,2.171,1.998,2.079,5.013,1.987,1.244,1.413,3.228,1.967
Negative,586.8836125,59.27540666,1.052,1.366,0.713,0.765,1.104,1.476,1.660,0.750,1.115,0.000,1.880,1.810,1.320,1.470,1.060,1.314,1.664,0.806,2.442,0.531,2.007,2.273,1.580,2.355,3.018,1.619,1.654,2.034,1.900,0.844,2.766,1.595,2.894,1.529,1.731,1.425,1.747,1.056,1.769,2.669
Negative,580.1639896,547.5863225,0.574,1.190,0.861,1.573,0.802,1.178,1.931,0.162,1.619,0.110,2.120,1.780,1.120,1.630,1.760,1.370,1.663,0.846,1.172,0.895,2.068,2.641,2.329,1.792,1.282,1.129,0.849,0.995,0.701,1.631,0.897,1.097,0.866,2.171,1.854,1.592,1.001,0.318,1.338,1.419
Negative,578.30414,1239.416828,0.957,0.822,0.436,1.386,1.399,0.035,0.038,0.106,4.771,0.050,0.090,0.100,0.070,0.170,0.390,0.204,0.255,0.065,0.208,0.393,0.164,0.090,0.067,2.066,0.355,0.489,0.401,0.157,0.249,0.493,0.153,0.147,0.025,0.135,0.373,0.241,0.104,0.021,0.154,0.410
Negative,575.3064148,912.9261278,0.520,1.668,1.033,0.961,0.818,1.314,0.935,1.223,1.339,0.189,1.470,1.420,1.360,1.590,2.820,1.532,1.372,3.275,2.332,2.698,2.840,3.331,1.572,3.736,2.641,2.595,1.133,2.622,2.028,3.351,1.213,1.747,3.096,3.071,2.971,3.235,1.019,1.653,2.538,2.017
Negative,575.1591224,355.1869522,0.767,1.039,1.156,0.896,1.142,1.224,1.685,1.164,0.691,0.236,1.130,1.990,1.290,1.960,2.110,1.218,2.299,1.399,1.546,2.204,1.667,1.921,2.407,2.845,3.178,1.111,1.467,1.772,1.887,2.387,1.392,0.434,1.695,2.079,3.268,1.880,1.420,1.390,2.736,2.159
